apiurl,domain,family,title,required_params,optional_params,response_field_count
"/future/m005/term_hist_info","future","m005","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","18"
"/future/m005/tick_date","future","m005","체결정보","cust_id, auth_key, jcode, edate","","25"
"/future/m005/tick_info","future","m005","체결정보","cust_id, auth_key, jcode","","25"
"/future/m006/basic_info","future","m006","기본정보","cust_id, auth_key, jcode","","48"
"/future/m006/basic_info_port","future","m006","기본정보","cust_id, auth_key, codelist","","48"
"/future/m006/code_info","future","m006","코드정보","cust_id, auth_key","","11"
"/future/m006/hist_info","future","m006","일별정보","cust_id, auth_key, jcode, sdate, edate","","20"
"/future/m006/hoga_info","future","m006","호가정보","cust_id, auth_key, jcode","","24"
"/future/m006/hoga_info_port","future","m006","호가정보(복수종목)","cust_id, auth_key, codelist","","24"
"/future/m006/hoga_info_port_top","future","m006","호가정보(복수종목_최우선)","cust_id, auth_key, codelist","","6"
"/future/m006/intra_date","future","m006","주기정보(10초)","cust_id, auth_key, jcode, edate","","22"
"/future/m006/intra_info","future","m006","주기정보(10초)","cust_id, auth_key, jcode","","20"
"/future/m006/invest_basic_info","future","m006","기본정보","cust_id, auth_key","","80"
"/future/m006/invest_hist_info","future","m006","기본정보","cust_id, auth_key, sdate, edate","","81"
"/future/m006/invest_intra_info","future","m006","주기정보(30초)","cust_id, auth_key","","81"
"/future/m006/old_code_info","future","m006","과거 종목(코드정보)","cust_id, auth_key, yyyymm","","6"
"/future/m006/old_hist_info","future","m006","과거종목(일별정보)","cust_id, auth_key, jcode, sdate, edate","","13"
"/future/m006/term_hist_info","future","m006","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","18"
"/future/m006/tick_info","future","m006","체결정보","cust_id, auth_key, jcode","","25"
"/future/m012/basic_info","future","m012","기본정보","cust_id, auth_key, jcode","","46"
"/future/m012/basic_info_port","future","m012","기본정보","cust_id, auth_key, codelist","","46"
"/future/m012/code_info","future","m012","코드정보","cust_id, auth_key","","11"
"/future/m012/hist_info","future","m012","일별정보","cust_id, auth_key, jcode, sdate, edate","","20"
"/future/m012/hoga_info","future","m012","호가정보","cust_id, auth_key, jcode","","24"
"/future/m012/hoga_info_port","future","m012","호가정보(복수종목)","cust_id, auth_key, codelist","","24"
"/future/m012/hoga_info_port_top","future","m012","호가정보(복수종목_최우선)","cust_id, auth_key, codelist","","6"
"/future/m012/intra_date","future","m012","주기정보(10초)","cust_id, auth_key, jcode, edate","","22"
"/future/m012/intra_info","future","m012","주기정보(10초)","cust_id, auth_key, jcode","","20"
"/future/m012/invest_basic_info","future","m012","기본정보","cust_id, auth_key","","80"
"/future/m012/invest_hist_info","future","m012","기본정보","cust_id, auth_key, sdate, edate","","81"
"/future/m012/invest_intra_info","future","m012","주기정보(30초)","cust_id, auth_key","","81"
"/future/m012/term_hist_info","future","m012","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","18"
"/future/m012/tick_info","future","m012","체결정보","cust_id, auth_key, jcode","","25"
"/future/m013/basic_info","future","m013","기본정보","cust_id, auth_key, jcode","","38"
"/future/m013/basic_info_port","future","m013","기본정보","cust_id, auth_key, codelist","","38"
"/future/m013/code_info","future","m013","코드정보","cust_id, auth_key","","8"
"/future/m013/hist_info","future","m013","일별정보","cust_id, auth_key, jcode, sdate, edate","","20"
"/future/m013/hoga_info","future","m013","호가정보","cust_id, auth_key, jcode","","24"
